employee_id,age,gender,education_level,experience_years,job_role,company_type,working_hours_per_day,projects_handled,overtime_hours,work_pressure_score,deadline_frequency,work_life_balance,remote_work,team_size,manager_support,job_satisfaction,mental_fatigue_score,stress_level,sleep_hours,physical_activity,health_issues,burnout_score
10001,50,Male,Bachelor,0,Data Analyst,MNC,7,3,24,2,Medium,1,Yes,7,1,5,9.9,4,5.8,No,No,0.627
10002,36,Male,Bachelor,6,Data Analyst,Corporate,8,5,27,3,High,3,No,14,1,2,8.9,4,7.2,Yes,Yes,0.586
10003,29,Female,Bachelor,25,Project Manager,Startup,9,6,7,7,High,3,Yes,9,3,3,7.1,5,6.9,Yes,Yes,0.874
10004,42,Female,Master,6,HR Executive,Startup,8,5,19,4,Medium,2,No,15,4,5,7.9,3,4.8,Yes,Yes,0.507
10005,40,Male,Master,6,Data Analyst,Corporate,7,3,26,7,High,2,Yes,17,4,5,4.2,3,7.6,Yes,No,0.449
10006,44,Male,Bachelor,7,Project Manager,Startup,8,6,13,5,Low,5,No,12,5,2,3.0,2,7.0,No,Yes,0.127
10007,32,Female,Master,15,Project Manager,Corporate,11,1,9,8,Medium,2,Yes,6,1,1,3.7,2,7.9,No,Yes,0.696
10008,32,Male,Master,2,HR Executive,Corporate,11,4,24,8,High,3,No,18,2,3,0.8,1,6.6,No,No,0.363
10009,45,Male,PhD,9,Data Analyst,Startup,6,1,6,5,Medium,5,Yes,9,3,2,6.3,5,6.2,No,No,0.385
10010,57,Male,Bachelor,6,Data Analyst,Corporate,9,2,1,7,Medium,3,Yes,15,3,3,1.7,4,6.0,Yes,No,0.446
10011,45,Female,Bachelor,20,Data Analyst,Corporate,11,1,16,6,Medium,1,Yes,6,2,3,7.6,2,4.5,Yes,No,0.91
10012,24,Female,PhD,30,Software Engineer,Corporate,6,3,0,8,Medium,1,No,14,5,1,1.9,1,4.7,No,No,0.461
10013,43,Female,Master,22,Data Analyst,Startup,9,2,12,9,Medium,2,No,4,2,1,2.3,1,5.0,No,Yes,0.638
10014,23,Female,Bachelor,26,ML Engineer,Corporate,11,4,18,5,Low,5,Yes,7,2,4,9.6,3,8.2,No,No,0.623
10015,45,Female,Bachelor,21,Software Engineer,MNC,9,6,28,7,Medium,4,No,10,5,2,1.1,5,8.0,No,Yes,0.239
10016,51,Female,Bachelor,26,Software Engineer,MNC,8,6,13,1,Low,1,Yes,6,2,2,5.0,5,6.5,No,Yes,0.502
10017,59,Male,Master,3,Software Engineer,Corporate,6,2,25,8,Medium,1,Yes,4,5,3,0.6,4,5.2,Yes,No,0.344
10018,23,Female,Master,23,Software Engineer,MNC,9,1,17,3,High,1,Yes,8,1,4,0.9,5,5.1,Yes,No,0.394
10019,42,Female,Bachelor,22,Project Manager,Startup,9,5,19,1,Medium,1,No,5,5,4,6.3,4,5.5,Yes,No,0.388
10020,54,Male,Master,18,ML Engineer,Corporate,8,5,13,6,Medium,2,No,16,4,3,6.3,5,8.1,Yes,Yes,0.583
10021,33,Female,Master,2,HR Executive,Startup,11,6,14,8,High,5,Yes,12,4,1,1.9,3,6.6,No,Yes,0.355
10022,43,Female,Master,26,Data Analyst,MNC,11,5,13,3,Low,1,No,13,2,4,8.7,1,7.7,No,No,0.536
10023,46,Male,Master,2,Software Engineer,MNC,7,2,23,1,Low,2,No,7,4,2,7.0,5,6.5,Yes,Yes,0.338
